date,open,high,low,close,volume
2017-01-04,111.06,111.22,110.61,110.86,4338351
2017-01-05,112.16,112.94,112.07,112.57,6999585
2017-01-06,111.81,112.38,111.57,111.77,5693265
2017-01-09,112.39,113.0399,112.18,112.68,4269994
2017-01-10,112.94,113.45,112.635,113.143,5455044
2017-01-11,112.88,114.19,112.17,113.5,8974723
2017-01-12,114.52,114.93,113.805,113.89,7612516
2017-01-13,113.65,114.31,113.19,114.1942,5719309
2017-01-17,115.89,115.96,115.495,115.85,6249823
2017-01-18,115.74,115.92,114.56,114.88,5218781
2017-01-19,114.32,114.96,113.935,114.8,4595345
2017-01-20,114.65,115.76,114.32,115.035,9525244
2017-01-23,115.51,116.17,115.2,115.8,4889131
2017-01-24,115.69,116.02,114.94,115.25,5061480
2017-01-25,114.14,114.44,113.68,114.32,5151563
2017-01-26,113.23,113.505,112.83,113.27,4381798
2017-01-27,112.93,113.545,112.81,113.48,5083098
2017-01-30,113.61,114.3,113.535,113.97,6076128
2017-01-31,115.28,115.8173,115.18,115.52,8258644
2017-02-01,114.66,115.45,114.14,115.19,5909916
2017-02-02,116.26,116.57,115.625,115.83,5550429
2017-02-03,115.73,116.365,115.71,116.14,7028203
2017-02-06,117.07,117.74,116.74,117.68,7438056
2017-02-07,117.31,117.74,117.2,117.46,7883615
2017-02-08,118.09,118.59,117.81,118.17,8001838
2017-02-09,118.32,118.58,117.2,117.31,7416202
2017-02-10,116.68,117.86,116.67,117.59,7199552
2017-02-13,116.73,116.95,116.15,116.79,5897611
2017-02-14,117.52,117.56,116.38,116.93,5928560
2017-02-15,116.33,117.48,116.2466,117.43,5352799
2017-02-16,117.93,118.35,117.83,118.06,5297869
2017-02-17,118.19,118.4,117.6201,117.67,6226932
2017-02-21,117.04,118.0,116.77,117.74,4580274
2017-02-22,117.86,118.02,117.24,117.92,5308720
2017-02-23,118.76,119.155,118.675,118.95,6141210
2017-02-24,119.74,119.88,119.25,119.71,7768508
2017-02-27,119.73,120.4,119.12,119.14,7977480
2017-02-28,119.71,119.84,118.82,119.22,6513628
2017-03-01,117.98,119.12,117.95,119.04,7178459
2017-03-02,117.77,118.34,117.225,117.59,8473686
2017-03-03,116.95,117.73,116.44,117.53,9426296
2017-03-06,117.35,117.35,116.63,116.72,3872091
2017-03-07,116.13,116.25,115.615,115.76,5122563
2017-03-08,114.99,115.36,114.945,115.08,5385437
2017-03-09,114.78,115.025,114.405,114.45,4600243
2017-03-10,114.45,114.73,114.13,114.7,5275705
2017-03-13,114.63,114.91,114.505,114.74,5037652
2017-03-14,114.54,115.01,114.025,114.13,4591371
2017-03-15,114.29,116.25,114.02,116.23,11148032
2017-03-16,117.27,117.29,116.69,116.75,6525192
2017-03-17,117.04,117.27,116.91,116.99,3559277
2017-03-20,117.31,117.595,117.205,117.57,3435814
2017-03-21,117.77,118.8,117.76,118.52,8446129
2017-03-22,118.87,119.15,118.68,118.82,6135370
2017-03-23,119.15,119.25,118.32,118.67,4966589
