date,open,high,low,close,volume
2016-12-06,3.86561,3.9105,3.32,3.5,8663.12669709
2016-12-07,3.47,3.56096,3.42,3.49038,647.82662995
2016-12-08,3.54505,3.86,3.47406,3.65,1727.2725646
2016-12-09,3.6754,3.77,3.63,3.69703,2040.14077013
2016-12-10,3.69,3.74,3.61,3.6639,268.16985867
2016-12-11,3.7,3.72,3.63,3.7,270.97933201
2016-12-12,3.69691,3.7,3.60233,3.67,1000.14194527
2016-12-13,3.66,3.69239,3.60012,3.64,1656.15702178
2016-12-14,3.66,3.68,3.62,3.62,125.55501347
2016-12-15,3.62,3.66146,3.59731,3.6,426.64264213
2016-12-16,3.64,3.7,3.5,3.5,340.00419316
2016-12-17,3.64,3.68,3.56,3.64,282.21986519
2016-12-18,3.63,3.72693,3.6,3.71,329.7251348
2016-12-19,3.69,3.74671,3.62,3.71673,289.79869025
2016-12-20,3.71811,3.71811,3.61,3.66,150.95635337
2016-12-21,3.66,3.69,3.61,3.64,135.19150998
2016-12-22,3.64,3.91,3.61972,3.64,1469.24547829
2016-12-23,3.65,3.88,3.58075,3.64677,3554.10285518
2016-12-24,3.68,4.7269,3.65,4.61229,17631.62090493
2016-12-25,4.6,5.14,4.2,4.47,8994.89055295
2016-12-26,4.37,4.49,4.08,4.3,3486.26606204
2016-12-27,4.3,4.4,4.13,4.27,748.71226369
2016-12-28,4.25,4.52,4.18,4.34,2875.97818515
2016-12-29,4.4,4.67967,4.3,4.53,5762.27166487
2016-12-30,4.56,5.0,4.4,4.68,1747.70759214
2016-12-31,4.55,4.69,4.1693,4.35,1275.28725065
2017-01-01,4.39,4.48,4.28,4.36,1487.99071165
2017-01-02,4.37,4.57,4.1,4.43,5494.24242918
2017-01-03,4.47,4.9,4.39162,4.62,7961.42033585
2017-01-04,4.56,4.66928,4.42,4.54,3037.90202973
2017-01-05,4.57,5.99,4.45,4.62,13581.53082719
2017-01-06,4.88,4.88,3.88,4.24,13151.05600127
2017-01-07,4.33795,4.39,3.80528,3.88,4016.24297097
2017-01-08,3.89,4.49,3.63,3.99,5911.7026411
2017-01-09,3.99,4.4,3.91424,4.03,1117.97281411
2017-01-10,4.0,4.55,3.92,4.47632,3668.20394959
2017-01-11,4.29873,4.68,4.29873,4.67767,3086.83382741
2017-01-12,4.50566,4.66446,3.8,3.94,9534.45944963
2017-01-13,3.91,4.14506,3.81,4.03001,2486.55008354
2017-01-14,4.03001,4.63895,3.87154,3.94072,3305.97015117
2017-01-15,4.03618,4.03618,3.87341,3.89579,338.58553001
2017-01-16,3.95,3.96668,3.88105,3.88552,340.85994879
2017-01-17,3.94271,3.94513,3.88106,3.88106,327.43906288
2017-01-18,3.89,4.02973,3.89,3.99982,2696.20032726
2017-01-19,3.92598,3.98301,3.85,3.9,1835.47227955
2017-01-20,3.9,3.9546,3.85,3.8919,557.64666
2017-01-21,3.92638,3.99999,3.86,3.88685,665.43096832
2017-01-22,3.9343,3.95682,3.87003,3.93752,207.4471661
2017-01-23,3.9061,3.93691,3.82451,3.82689,2599.0405854
2017-01-24,3.88969,3.90241,3.82665,3.82665,1101.67858901
2017-01-25,3.82665,3.85,3.72,3.72,4090.78235483
2017-01-26,3.75,3.7501,3.66298,3.71801,1617.23974811
2017-01-27,3.72,3.89699,3.67,3.89417,3284.09708578
2017-01-28,3.8,3.91062,3.8,3.85816,284.3233694
2017-01-29,3.91561,3.968,3.85,3.89844,1748.7115756
2017-01-30,3.88477,3.89,3.8354,3.89,477.02297822
2017-01-31,3.89999,4.69,3.85625,4.1421,7968.78042944
2017-02-01,4.13991,4.20137,4.00926,4.12475,6292.77761939
2017-02-02,4.11786,4.11787,4.0206,4.07618,3943.1857586
2017-02-03,4.07753,4.13263,3.97375,4.05572,2137.29995661
